"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","WESD","WESD_ATTRIBUTES"
"US1WVKN0026","2016-11-26","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    8",",,N",,,,,,,,,,
"US1WVKN0026","2016-11-29","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  102",",,N",,,,,,,,,,
"US1WVKN0026","2016-11-30","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   86",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-01","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  226",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-05","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   20",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-06","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   13",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-07","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   74",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-08","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    3",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-09","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    0",",,N","    0",",,N",,,,,,,,
"US1WVKN0026","2016-12-12","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  168",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-18","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  257",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-19","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   69",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-24","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  112",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-25","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   10",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-27","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  122",",,N",,,,,,,,,,
"US1WVKN0026","2016-12-29","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   89",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-01","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   36",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-02","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   56",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-03","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   86",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-04","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   58",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-05","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    8",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-06","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    0",",,N","    0",",,N","   81",",,N",,,,,,
"US1WVKN0026","2017-01-11","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   13",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-12","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   43",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-13","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   69",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-14","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   41",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-15","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  193",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-16","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   74",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-17","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   91",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-18","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   13",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-19","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    3",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-20","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   53",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-22","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    3",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-23","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   30",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-24","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  193",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-25","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   13",",,N",,,,,,,,,,
"US1WVKN0026","2017-01-26","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   13",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-07","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   10",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-08","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   18",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-09","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  178",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-12","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    5",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-19","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   71",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-22","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   38",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-23","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","   51",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-25","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  107",",,N",,,,,,,,,,
"US1WVKN0026","2017-02-28","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","    3",",,N",,,,,,,,,,
"US1WVKN0026","2017-03-01","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  196",",,N",,,,,,,,,,
"US1WVKN0026","2017-03-02","38.349862","-81.751854","243.5","SOUTH CHARLESTON 2.5 W, WV US","  117",",,N",,,,,,,,,,
